"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"65-74 years"	"65-74"	"2015"	"2015"	514	595791	86.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"65-74 years"	"65-74"	"2016"	"2016"	534	615143	86.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"65-74 years"	"65-74"	"2017"	"2017"	572	640060	89.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"1999"	"1999"	555	286746	193.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2000"	"2000"	522	288613	180.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2001"	"2001"	525	295084	177.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2002"	"2002"	558	300425	185.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2003"	"2003"	626	303622	206.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2004"	"2004"	556	306304	181.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2005"	"2005"	606	306911	197.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2006"	"2006"	573	305026	187.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2007"	"2007"	523	303880	172.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2008"	"2008"	514	300678	170.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2009"	"2009"	545	297507	183.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2010"	"2010"	501	296326	169.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2011"	"2011"	535	293751	182.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2012"	"2012"	548	292756	187.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2013"	"2013"	550	292101	188.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2014"	"2014"	548	291387	188.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2015"	"2015"	530	290982	182.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2016"	"2016"	527	293365	179.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"75-84 years"	"75-84"	"2017"	"2017"	592	305663	193.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"1999"	"1999"	276	75975	363.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2000"	"2000"	347	77790	446.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2001"	"2001"	311	79852	389.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2002"	"2002"	326	81772	398.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2003"	"2003"	355	84353	420.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2004"	"2004"	319	86316	369.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2005"	"2005"	370	90089	410.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2006"	"2006"	324	93880	345.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2007"	"2007"	359	97531	368.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2008"	"2008"	396	101267	391.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2009"	"2009"	412	104602	393.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2010"	"2010"	386	107149	360.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2011"	"2011"	471	112181	419.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2012"	"2012"	499	115496	432.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2013"	"2013"	472	119159	396.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2014"	"2014"	479	120675	396.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2015"	"2015"	541	122439	441.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2016"	"2016"	535	123969	431.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	"Male"	"M"	"85+ years"	"85+"	"2017"	"2017"	538	128464	418.8
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2011"	"2011"	12	24148	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2012"	"2012"	14	25777	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2013"	"2013"	19	27387	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2014"	"2014"	17	29267	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2015"	"2015"	23	31103	73.9
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2016"	"2016"	15	32364	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"75-84 years"	"75-84"	"2017"	"2017"	24	35614	67.4
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2007"	"2007"	19	6346	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2008"	"2008"	17	6763	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2009"	"2009"	18	7192	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2010"	"2010"	26	7550	344.4
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2011"	"2011"	27	8489	318.1
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2012"	"2012"	50	9318	536.6
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2013"	"2013"	63	10305	611.4
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2014"	"2014"	64	11089	577.1
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2015"	"2015"	75	12198	614.9
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2016"	"2016"	62	13049	475.1
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2017"	"2017"	82	14833	552.8
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2006"	"2006"	10	98052	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2012"	"2012"	10	20482	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2013"	"2013"	17	22062	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2014"	"2014"	12	23734	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2015"	"2015"	17	25538	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2016"	"2016"	21	26574	79.0
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2017"	"2017"	14	28950	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2010"	"2010"	15	4627	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2011"	"2011"	13	5079	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2012"	"2012"	26	5528	470.3
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2013"	"2013"	24	6181	388.3
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2014"	"2014"	32	6760	473.4
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2015"	"2015"	32	7464	428.7
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2016"	"2016"	31	8034	385.9
	"Mental and behavioural disorders"	"F01-F99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2017"	"2017"	35	9303	376.2
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	11	299408	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	15	303246	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	19	302101	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	14	300353	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	13	296329	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	14	287171	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	11	273206	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	12	265883	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	20	219892	9.1
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	14	224544	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	27	233053	11.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	17	238262	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	16	243359	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	17	248317	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	19	252836	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	21	257601	8.2
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	17	261804	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	10	267318	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	18	273098	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	17	276561	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	18	277934	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	11	277308	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	13	277141	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	12	276522	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	17	274112	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	16	266161	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	18	163961	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	14	168009	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	12	172724	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	10	177586	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	11	185106	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	15	198843	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	10	207528	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	15	213550	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2013"	"2013"	11	218859	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2014"	"2014"	26	225352	11.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2015"	"2015"	18	231348	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2016"	"2016"	16	236124	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2017"	"2017"	20	242248	8.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2000"	"2000"	11	100951	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2004"	"2004"	12	108910	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2007"	"2007"	17	114104	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2008"	"2008"	15	117559	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2009"	"2009"	12	120840	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2010"	"2010"	20	122924	16.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2011"	"2011"	28	126305	22.2
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2012"	"2012"	28	130983	21.4
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2013"	"2013"	25	135277	18.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2014"	"2014"	28	140547	19.9
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2015"	"2015"	37	145462	25.4
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2016"	"2016"	24	149342	16.1
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"65-74 years"	"65-74"	"2017"	"2017"	24	155077	15.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"1999"	"1999"	15	56852	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2000"	"2000"	16	58516	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2001"	"2001"	13	61006	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2002"	"2002"	16	62742	Unreliable
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2003"	"2003"	20	64048	31.2
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2004"	"2004"	26	64986	40.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2005"	"2005"	28	65766	42.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2006"	"2006"	34	66043	51.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2007"	"2007"	48	66359	72.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2008"	"2008"	52	66363	78.4
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2009"	"2009"	69	66785	103.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2010"	"2010"	67	67710	99.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2011"	"2011"	82	69488	118.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2012"	"2012"	91	70623	128.9
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2013"	"2013"	92	73025	126.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2014"	"2014"	101	74991	134.7
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2015"	"2015"	97	77221	125.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2016"	"2016"	98	79502	123.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"75-84 years"	"75-84"	"2017"	"2017"	99	83964	117.9
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"1999"	"1999"	21	20424	102.8
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2000"	"2000"	30	21190	141.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2001"	"2001"	35	21596	162.1
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2002"	"2002"	56	21899	255.7
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2003"	"2003"	45	22461	200.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2004"	"2004"	54	22920	235.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2005"	"2005"	59	23930	246.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2006"	"2006"	87	24802	350.8
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2007"	"2007"	103	25882	398.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2008"	"2008"	113	26841	421.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2009"	"2009"	137	28103	487.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2010"	"2010"	182	28947	628.7
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2011"	"2011"	231	30165	765.8
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2012"	"2012"	287	31760	903.7
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2013"	"2013"	347	33134	1047.3
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2014"	"2014"	317	34301	924.2
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2015"	"2015"	308	35178	875.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2016"	"2016"	278	36407	763.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Female"	"F"	"85+ years"	"85+"	"2017"	"2017"	257	38830	661.9
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"1999"	"1999"	31	247269	12.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2000"	"2000"	25	249795	10.0
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2001"	"2001"	29	252098	11.5
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2002"	"2002"	34	250284	13.6
	"Mental and behavioural disorders"	"F01-F99"	"Black or African American"	"2054-5"	"Male"	"M"	"35-44 years"	"35-44"	"2003"	"2003"	23	248334	9.3
